Marca,Codigo_Barras,Acción_Terapéutica,Principio_Activo,Nombre,id
BAGO,7770102002082,DISFUNCION ERECTIL,TADALAFILO 20 MG,AXION 20 MG CAJA X 4 COMPRIMIDOS,7770102002082
BAGO,7770102002112,CORTICOIDE,BETAMETASONA DIPROPIONATO BETAMETASONA FOSFATO DISODICO,CRONOCORTEROID CAJA X 1 AMPOLLA,7770102002112
BAGO,7770102002143,ATIINFLAMATORIO RELAJANTE,DICLOFENACO COMPLEJOS B,CLOFENAC B12 FORTE CAJA X 1 AMPOLLA 3 ML,7770102002143
BAGO,7770102002167,ANALGESICO,BENZOCAÍNA – TIROTRICINA,BAGOCILETAS PLUS FRAMBUESA CAJA X 25 SOBRES,7770102002167
BAGO,7770102002402,MIORRELAJANTE,DICLOFENACO PIRIDINOL,CLOFENAC RELAX CAJA X 30 COMPRIMIDOS,7770102002402
BAGO,7770102002549,ANTIGRIPAL,PARACETAMOL PSEUDOEFEDRINA CLORFENIRAMINA,REFRIANEX GOTAS FCO X 15 ML,7770102002549
BAGO,7770102002587,ABTIBIOTICO DE AMPLIO ESPECTRO,MINOCICLINA,BAGOMICINA 50 MG CAJA X 24 COMPRIMIDOS,7770102002587
BAGO,7770102002594,ANTIBIOTICO DE AMPLIO ESPECTRO,MINOCICLINA,BAGOMICINA 100 MG CAJA X 12 COMPRIMIDOS,7770102002594
BAGO,7770102002648,HIPOGLICEMIANTE,METFORMINA 500 MG,GLICENEX 500 CAJA X 30 COMPRIMIDOS,7770102002648
BAGO,7770102002655,HIPOGLICEMIANTE,METFORMINA 850 MG,GLICENEX AP 850 MG CAJA X 30 COMPRIMIDOS,7770102002655
BAGO,7770102002662,ANTIMICOTICO,TERBINAFINA 250 MG,MICOSET 250 MG CAJA X 14 COMPRIMIDOS,7770102002662
BAGO,7770102002723,ANALGESICO,KETOROLACO 30 MG,DONODOL 30 SL CAJA X 30 COMPRIMIDOS,7770102002723
BAGO,7770102002860,RESTAURADOR DE FLORA INTESTINAL,CONTIENE ENZIMAS DIGESIVAS,BAGOVITAL DIGEST CAJA X 10 SOBRES,7770102002860
BAGO,7770102002877,RESTAURADOR DE FLORA INTESTINAL,CONTIENE ENZIMAS DIGESIVAS,BAGOVITAL INMUNE CAJA X 10 SOBRES,7770102002877
BAGO,7770102003256,ANTIINFLAMATORIO ANALGESICO,KETOPROFENO 150 MG,TALFLEX BI 150 MG CAJA X 10 COMPRIMIDOS,7770102003256
BAGO,7770102003683,ANTIHIPOTIROIDISMO,LEVOTIROXINA SODICA 100 MG,T4 100 MCG CAJA X 30 COMPRIMIDOS,7770102003683
BAGO,7770102003935,ANTIPROTOZOARIO-ANTIMALARICO-ANTIREUMATICO,HIDROXICLOROQUINA,BATADINA 400 MG CAJA X 10 COMPRIMIDOS,7770102003935
BAGO,7770102003942,ANTIPROTOZOOARIO-ANTIMALARICO-ANTIREUMATICO,HIDROXICLOROQUINA,BATADINA 200 MG CAJA X 30 COMPRIMIDOS,7770102003942
BAGO,7770102004093,ANTIPIRETICO DESCONGESTIONANTE ANALGESICO,IBUPROFENO PSEUDOEFERINA CLORFENIRAMINA,PIRONAL FLU ADVANCE CAJA X 12 COMPRIMIDOS,7770102004093
BAGO,7770102004161,ANTIINFLAMATORIO RELAJANTE,KETOPROFENO COMPLEJO B,TALFLEX B1 B6 B12 FORTE X 1 AMPOLLA,7770102004161
BAGO,7770102004208,ANTITUSIVO,TUSABRON LEVODROPROPIZINA JARABE X 100 ML,TUSABRON LEVODROPROPIZINA JARABE X 100 ML,7770102004208
INTI OTC,77701039,DESCONGESTIONANTE,MENTISAN 25 GR,MENTISAN UNGUENTO LATA X 25 GR,77701039
VITA,7770105008760,DESPIGMENTANTE,HIDROQUINONA 3 %,PERLA VITAROSA TUBO X 20 G,7770105008760
VITA,7770105008906,ELIMINA LA CASPA,PIROCTONE OLAMINA,SHAMPOO ANTICASPA CARLA LORENA X 350 ML,7770105008906
VITA,7770105009170,LUBRICANTE HUMECTANTE OCULAR,CLORURO DE SODIO 0.9 %,OFTAL FISIOLOGICO 0.9% SOLUCION OFTALMICA FRASCO X 15 ML,7770105009170
VITA,7770105009187,DESCONGESTIONANTE NASAL,CLORHIDRATO DE OXIMETAZOLINA,VITANASAL ADULTO 0.05 % GOTAS FRASCO X 15 ML VITA,7770105009187
VITA,7770105009248,LAXANTE,VASELINA LIQUIDA DENSA 2 GR,VASELAGAR SIMPLE FCO. X 120 ML,7770105009248
VITA,7770105009279,LAXANTE,FENOLFTALEINA 50 GR,VASELAGAR COMPUESTO FCO X 120 ML,7770105009279
VITA,7770105009293,ANESTESICO LOCAL,LIDOCAINA,INFALIBLE GOTAS FCO X 10 ML,7770105009293
VITA,7770105009477,ANTIACIDO ANTIFLATULENTO,HIDROXIDO DE ALUMINIO HIDROXIDO DE MAGNESIO,NEUTRAVIT PLUS SUSPENCION FCO X 120 ML,7770105009477
VITA,7770105009507,DESCONGESTIONANTE NASAL,CLORHIDRATO DE OXIMETAZOLINA,VITANASAL NIÑOS GOTAS FRASCO X 15 ML,7770105009507
VITA,7770105009514,HIDRATANTE,EXTRACTO DE HUEVO,ACONDICIONADOR CARLA LORENA HUEVO X 700 ML,7770105009514
VITA,7770105009521,HIDRATANTE,EXTRACTO DE HUEVO,ACONDICIONADOR CARLA LORENA HUEVO X 350 ML,7770105009521
VITA,7770105009545,HIDRATANTE,EXTRACTO DE FRUTILLA,ACONDICIONADOR CARLA LORENA FRUTILLA X 700 ML,7770105009545
VITA,7770105009576,HIDRATANTE,EXTRACTO DE AVENA,ACONDICIONADOR CARLA LORENA AVENA X 700 ML,7770105009576
VITA,7770105009583,HIDRATANTE,EXTRACTO DE AVENA,ACONDICIONADOR CARLA LORENA AVENA X 350 ML,7770105009583
VITA,7770105009644,ANTIANEMICO,SULFATO FERROSO GLICEROFOSFATO DE SODIO,VITASANG JARABE FCO X 200 ML,7770105009644
VITA,7770105009651,ANTIGRIPAL ANTITUSIVO,GUAYACOLATO DE GLICERILO,VITATOL COMPUESTO JARABE FCO X 200 ML,7770105009651
VITA,7770105009736,"ANTIPIRÉTICO, ANALGÉSICO Y DESCONGESTIONANTE",CLORFENIRAMINA; PARACETAMOL (ACETAMINOFÉN); PSEUDOEFEDRINA,ALERDEN GOTAS FCO X 15 ML,7770105009736
VITA,7770105009767,FRAGILIDAD CAPILAR FIEBRE REUMATICA,VITAMINA K,FLAVO CKR CAJA X 100 CAPSULAS,7770105009767
VITA,7770105009798,ANTIINFLAMATORIO ANALGESICO,DICLOFENACO,DICLOFENACO 100 MG CAJA X 100 COMPRIMIDOS,7770105009798
VITA,7770105009804,LAXANTE,FENOLFTALEINA 150 MG,PURGO VITA CAJA X 100 COMPRIMIDOS,7770105009804
VITA,7770105009835,TRATAMIENTO PARA ACIDEZ GASTRICA,HIDROXIDO DE ALUMINIO HIDROXIDO DE MAGNESIO,NEUTRAVIT SUSPENCION FCO X 120 ML,7770105009835
VITA,7770105009910,ENERGETICO DESINTOXICANTE,VITAMINA B6 B12 DEXTROSA,GLUCOSAMIN 12 CAJA X 3 AMPOLLAS,7770105009910
TERBOL,7770108040637,ANTIBACTERIANO,CLOXACILINA,BETACLOX 500 MG CAJA X 100 CAPSULAS,7770108040637
TERBOL,7770108040668,ANTIBIOTICO,DICLOXACILINA 500 MG,DICLOXACIL 500 MG CAJA X 100 CAPSULAS,7770108040668
TERBOL,7770108040934,ANTIBACTERIANO ANTIMICOTICO,GENTAMICINA BETAMETASONA MICONAZOL,4 DERM CREMA DERMICA TUBO X 20 G,7770108040934
TERBOL,7770108040972,ANESTESICO LOCAL,LIDOCAINA,TERBOCAINA 4% GEL TUBO X 15 G,7770108040972
TERBOL,7770108041238,ANESTESICO,LIDOCAINA,TERBOCAINA 2 % VIAL X 50 ML,7770108041238
TERBOL,7770108041412,ANTITUSIVO,DEXTROMETORFANO 10 MG,TUSBOL 10 MG JARABE FCO X 100 ML,7770108041412
TERBOL,7770108041863,ANTIBIOTICO,CEFALEXINA 250 MG,CEFALEXIN 250 SUSPENCION FCO X 60 ML,7770108041863
TERBOL,7770108043072,TRATAMIENTO DE AFECCIONES DÉRMICAS,GENTAMICINA BETAMEZONA MICONAZOL,4 DERM CREMA DERMICA TUBO X 10 G,7770108043072
TERBOL,7770108044086,ANTIBIOTICO,PENICILINA BENZATINICA SODICA PROCAINICA,TERBOCYL FORTE CAJA X 1 AMPOLLA,7770108044086
TERBOL,7770108044512,ANTIBIOTICO,CEFTRIAXONA 1 GR,CEFTRIAXON 1 G CAJA X 1 AMPOLLA INTRAMUSCULAR,7770108044512
TERBOL,7770108045373,DESINFECCIÓN DE MANOS Y SUPERFICIES,ALCOHOL EN GEL,ALCOHOL EN GEL X 500 ML,7770108045373
TERBOL,7770108046400,ANTIBIOTICO,NIFUROXAZIDA,ENTEROCOLIN CAJA X 32 COMPRIMIDOS,7770108046400
TERBOL TERBONOVA,7770108046424,CUIDADO DE LA PIEL,COLAGENO,COLLAGEN CREAM POTE X 112 GR,7770108046424
TERBOL,7770108047018,ANTIOXIDANTE,VITAMINA C,VITAMINA C 1000 MG X 25 SOBRES,7770108047018
SIGMA,7770108070108,ANTIEMÉTICO,METOCLOPRAMIDA,ADECUAN CAJA X 20 COMPRIMIDOS,7770108070108
SIGMA,7770108070115,ANTIEMÉTICO,METOCLOPRAMIDA,ADECUAN GOTAS X 15 ML,7770108070115
SIGMA,7770108070191,ANTIINFLATORIO-INMUNOSUPRESOR,BETAMETASONA,BETAMEX 4 MG CAJA X 5 AMPOLLAS,7770108070191
SIGMA,7770108070627,ANTIBIOTICO-ANTIINFLAMATORIO,POLIMIXINA B-NEOMICINA - DEXAMETASONA,BACTICOR UNGUENTO OFTALMICO TBO 3.5 G,7770108070627
SIGMA,7770108072041,TRATAMIENTO DE LOS TRASTORNOS DIGESTIVOS,"ALUMINIO, HIDRÓXIDO DE MAGNESIO, HIDRÓXIDO DE SIMETICONA",ACYDONE GEL SUSPENSION CHERRY FRASO X 210 ML,7770108072041
SIGMA,7770108072270,RE HIDRATANTE,ELECTROLITOS,HYDROLIT ELIXIR ZERO BERRY 1100 ML,7770108072270
SIGMA,7770108072287,RE HIDRATANTE,ELECTROLITOS,HYDROLIT ELIXIR ZERO ARANDANO 1100 ML,7770108072287
SIGMA,7770108072294,RE HIDRATANTE,ELECTROLITOS,HYDROLIT ELIXIR ZERO MANGO 1100 ML,7770108072294
IFA,7770108080626,ANTIINFECCIOSO GINECOLÓGICO,"ITRACONAZON, SECNIDAZOL",AFUNGIL CAJA X 12 CAPSULAS,7770108080626
IFA,7770108081678,ANALGESICO,Amoxicilina 1 g Claritromicina 500 mg Esomeprazol 20 mg,TRIOBACTER CAJA X 60 UNIDADES,7770108081678
IFA,7770108081937,INMUNOSUPRESOR,FLUZET LEFLUNOMINA 20 M G CAJA X 30 CAPSULAS BLANDAS,FLUZET LEFLUNOMINA 20 M G CAJA X 30 CAPSULAS BLANDAS,7770108081937
PRODEXA,7770108082187,ANTIHIPERURICÉMICO Y ANTIGOTOSO,ALOPURINOL,ALOPURINOL 300 MG CAJA X 20 COMPRIMIDOS,7770108082187
PRODEXA,7770108082279,SUPLEMENTO,VITAMINAS DEL COMPLEJO B,COMPLEJO B CAJA X 100 COMPRIMIDOS RECUBIERTOS,7770108082279
PRODEXA,7770108082545,TRATAMIENTO Y PREVENCIÓN DE LA OSTEOPOROSIS,ALENDRONATO,ALENDRONATO 70 MG CAJA X 4 COMPRIMIDOS,7770108082545
PRODEXA,7770108082736,ANALGESICO ANTIINFLAMATORIO,IBUPROFENO 400 MG CAJA X 100 COMPRIMIDOS,IBUPROFENO 400 MG CAJA X 100 COMPRIMIDOS,7770108082736
PRODEXA,7770108083177,ANTIVIRAL TÓPICO,ACICLOVIR,ACICLOVIR CREMA TUBO X 5 G,7770108083177
PRODEXA,7770108083184,ANTIINFLAMATORIO,BETAMETASONA,BETAMETASONA 0.1 % CREMA DERMICA TUBO X 15 G,7770108083184
PRODEXA,7770108083313,ANTIBACTERIANO SISTÉMICO,ÁCIDO NALILÍXICO,ACIDO NALIXICO 250 MG SUSPENCION FCO X 120 ML,7770108083313
PRODEXA,7770108083443,ANTIBIOTICO TOPICO,BACITRACINA- NEOMICINA,BACITRACINA NEOMICINA TUBO X 10 G,7770108083443
PRODEXA,7770108085492,ANTIHELMINTICO,ALBENDAZOL,ALBENDAZOL 400 MG SUSPENSION FCO X 10 ML,7770108085492
IFA,7770108087151,ANTIEMETICO,DOMPERIDONA,BALMICIN DOMPERIDONA 10 MG GOTAS FCO X 20 ML,7770108087151
IFA,7770108087243,"ANALGESICO, ANTIINFLAMATORIO","DICLOFENACO75MG, PARACETAMOL 750 MG",FLAMADIN PLUS FORTE CAJA X10 COMPRIMIDOS RECUBIERTOS,7770108087243
CRESPAL,7770108090038,ANTIVIRAL TÓPICO,ACICLOVIR,ACICLOVIR CREMA TUBO X 10 G,7770108090038
CRESPAL,7770108090045,TX DE INFECCIONES BACTERIANAS EN LA PIEL,BACITRACINA NEOMICINA,BACITRACINA NEOMICINA POMADA TUBO X 10 GR,7770108090045
CRESPAL,7770108090069,ANTIINFLAMATORIO-INMUNOSUPRESOR,BETAMETASONA,BETAMETASONA CREMA TUBO X 10 GR,7770108090069
SAE GENERICO,7770108100058,ANTIVIRAL,ACICLOVIR,ACICLOVIR CREMA 5% TUBO X 5 G,7770108100058
SAE GENERICO,7770108100164,BRONCODILATADOR,SALBUTAMOL,SALBUTAMOL 100 MCG AEROSOL X 200 DOSIS,7770108100164
SAE MARCA,7770108100294,ALIVIO DEL DOLOR Y REDUCCIÓN DE LA INFLAMACIÓN,ACECLOFENACO,ACECLOFEN DUO CAJA X 30 COMPRIMIDOS,7770108100294
SAE MARCA,7770108100393,DISFUNCION ERECTIL,TADALAFILO 20 MG,T 36 CAJA X 4 COMPRIMIDOS,7770108100393
SAE MARCA,7770108100409,DISFUNCION ERECTIL,TADALAFILO 20 MG,T 36 GEL ORAL CAJA X 4 SACHETS,7770108100409
SAE MARCA,7770108100430,TRATAMIENTO DE ACNE,ADAPALENE; CLINDAMICINA,AGNUS GEL TUBO X 15 G,7770108100430
SAE MARCA,7770108100478,AFECCIONES APARATO LOCOMOTOR,MOVIDOL GLUCOSAMINA SULFATO,MOVIDOL CAJA X 30 CAPSULAS BLANDAS,7770108100478
SAE GENERICO,7770108100980,ANTIVIRAL,ACICLOVIR,ACICLOVIR 400 MG CAJA X 100 COMPRIMIDOS,7770108100980
SAE GENERICO,7770108101000,ANTIMICOTICO,ALBENDAZOL,ALBENDAZOL 400 MG CAJA X 20 CAPSULAS,7770108101000
SAE MARCA,7770108101086,TRATAMIENTO DE ACNE,ISOTRETINOINA 20 MG,AGNUS 20 MG CAJA X 30 CAPSULAS,7770108101086
SAE MARCA,7770108101093,TRATAMIENTO DE ACNE,ISOTRETINOINA 10 MG,AGNUS 10 MG CAJA X 30 CAPSULAS,7770108101093
SAE MARCA,7770108101918,ANTIHISTAMÍNICO Y ANTIALÉRGICO,LEVOCETIRIZINA,ALERNOVA CAJA X 30 COMPRIMIDOS,7770108101918
SAE OTC,7770108102137,ANTIGRIPAL,CAFEÍNA; IBUPROFENO; PARACETAMOL (ACETAMINOFÉN),ACTIFEM CAJA X 100 CAPSULAS,7770108102137
SAE MARCA,7770108102380,TX DE ENFERMEDADES DÉRMICAS INFLAMATORIAS,BECLOMETASONA-NEOMICINA,BECLODERM CREMA TUBO X 15 GR,7770108102380
SAE MARCA,7770108102403,ANTIBIOTICO PARA USO TOPICO,CIPROMAX CIPROFLOXACINA 0.5 CREMA X 15G,CIPROMAX CREMA TUBO X 15 GR,7770108102403
SAE MARCA,7770108102472,ANTIBIOTICO,CLINDAMICINA 100 MG,OVUCLIN 100 MG CAJA X 7 OVULOS,7770108102472
SAE MARCA,7770108102489,ANTIBIOTICO ANTIMICOTICO,CLINDAMICINA 100 GM MICONAZOL 200 MG,OVUCLIN DUO CAJA X 7 OVULO VAGINAL,7770108102489
SAE MARCA,7770108102588,ANTIFUNGICOS GINECOLOGICOS,FLUCONAZOL 150 MG,FINAX 150 MG CAJA X 7 OVULOS,7770108102588
SAE MARCA,7770108102625,MASCARILLA PARA NEBULIZAR,AEROCAMARA,AEROSAL ADULTOS AEROCAMARA CON MASCARA,7770108102625
SAE MARCA,7770108102632,MUCOLÍTICO Y BRONCODILATADOR BETA2-ADRENÉRGICO,LEVOSALBUTAMOL,AIRMAX 50 MCG AEROSOL X 200 DOSIS,7770108102632
SAE MARCA,7770108103042,KETOCONAZOL 2% ANTIMICOTICOS DERMATOLOGICOS,PULOXIL 2 % SHAMPOO ANTICASPA X 100 ML,PULOXIL SHAMPOO X 100 ML,7770108103042
SAE MARCA,7770108103127,TRATAMIENTO PARA LA HIPERURICEMIA,FEBUXOSTAT 80 MG,UROMAX 80 MG CAJA X 30 COMPRIMIDOS,7770108103127
SAE MARCA,7770108103844,DISFUNCION ERECTIL,TADALAFILO 20 MG DAPOXETINA 60 MG,T 36 PLUS CAJA X 4 COMPRIMIDOS,7770108103844
SAE OTC,7770108104070,COMPRESA,PARCHE TÉRMICO PARA EL ALIVIO DE LOS DOLORES MENSTRUALES,ACTIFEM X 1 COMPRESA CALIENTE,7770108104070
SAE MARCA,7770108104162,RESPIRATORIO Y LOCOMOTOR,TRIBACTIN SECNIDAZOL 2GR X 1 SACHET,TRIBACTIN 2 GR CAJA X 1 SACHET,7770108104162
SAE MARCA,7770108104278,ALIVIO DEL DOLOR Y REDUCCIÓN DE LA INFLAMACIÓN,ACECLOFENACO,ACECLOFEN B CAJA X 30 COMPRIMIDOS,7770108104278
SAE MARCA,7770108104308,ANTIVERTIGINOSO ANTIEMETICO,MECLIZINA 25 MG PIRIDOXINA 50 MG,VOMOFILAX CAJA X 20 COMPRIMIDOS,7770108104308
SAE MARCA,7770108104339,NEBULIZADOR CON MASCARILLA,AEROCAMARA,AEROSAL INFANTIL AEROCAMARA CON MASCARA,7770108104339
SAE MARCA,7770108104445,ANTIPARASITARIO ANTIMICOTICO,CLOTRIMAZOL 100 MG METRONIDAZOL 500 MG,OVUMEX CAJA X 6 COMPRIMIDOS VAGINALES,7770108104445
SAE MARCA,7770108104636,ANTIACIDOS ANTIFLATULENTOS ANTIULCEROSOS,ESOMEPRAZOL 20 MG,ESOMEX LP 20 MG CAJA X 30 CAPSULAS,7770108104636
SAE MARCA,7770108104643,ANTIACIDOS ANTIFLATULENTOS ANTIULCEROSOS,ESOMEPRAZOL 40 MG,ESOMEX LP 40 MG CAJA X 30 CAPSULAS,7770108104643
SAE MARCA,7770108104797,ANTIHISTAMÍNICO Y ANTIALÉRGICO,LEVOCETIRIZINA,ALERNOVA D CAJA X 30 COMPRIMIDOS,7770108104797
SAE MARCA,7770108105145,"ANTIASMÁTICO, BRONCODILATADOR",LEVOSALBUTAMOL,AIRMAX 0.63 SOLUCION PARA NEBULIZACION X 20 AMPOLLAS,7770108105145
SAE MARCA,7770108105336,AEROLIZER INHALADOR DE POLVO SECO,AEROLIZER,AEROLIZER INHALADOR DE POLVO SECO,7770108105336
SAE MARCA,7770108105473,CICATRICES,CURAPLAST GEL DE SILICONA X 15GR,CURAPLAST GEL TUBO X 15 GR.,7770108105473
SAE MARCA,7770108105817,COMPLEMENTO ALIMENTICIO,BIFIDOBACTERIUM PEDIOCOCCUS PENTOSACEUS,PROBIOTIC KOLIC SOLUCION FCO X 8 ML,7770108105817
SAE MARCA,7770108105855,COMPLEMENTO ALIMENTICIO,CIANOCOBALAMINA (VITAMINA B12); COENZIMA Q10; HIERRO,ACTIGIN FER CAJA X 30 CAPSULAS BLANDAS,7770108105855
SAE GENERICO,7770108105954,ANTIBIOTICO,CLARITROMICINA 500 MG X 10 COMPRIMIDOS RECUBIERTOS,CLARITROMICINA 500 MG X 10 COMPRIMIDOS RECUBIERTOS,7770108105954
SAE MARCA,7770108105985,DIGESTIVO PROBIOTICO,BACTERIAS PROBIOTICOS,PROBIOTIC KIDS CAJA X 30 COMPRIMIDOS MASTICABLES,7770108105985
SAE MARCA,7770108106050,ANTIHEPATICO,ACIDO URSODEOXICOLICO 600 MG,HEPALIM 600 MG CAJA X 10 COMPRIMIDOS,7770108106050
SAE MARCA,7770108106227,ANALGESICO,IBUPROFENO 5%,NODOL 5% IBUPROFENO CAJA X 5 PARCHES,7770108106227
SAE MARCA,7770108106326,ANALGESICO,IBUPROFENO 800 MG,NODOL 800 MG CAJA X 10 CAPSULAS,7770108106326
SAE MARCA,7770108106333,ANALGESICO,IBUPROFENO 600 MG,NODOL 600 MG CAJA X 10 CAPSULAS,7770108106333
SAE MARCA,7770108106517,CORTICOIDE SISTEMICO,PREDNISONA 15 MG,CERTEC 15 MG SUSPENCION FCO X 60 ML,7770108106517
SAE MARCA,7770108106562,ANALGESICO,IBUPROFENO 200 MG,NODOL PEDIATRICO 200 MG IBUPROFENO CAJA X 20 SACHETS,7770108106562
SAE MARCA,7770108106579,ANALGESICO,IBUPROFENO 400,NODOL 400 MG IBUPROFENO CAJA X 20 SACHETS 10 ML,7770108106579
SAE MARCA,7770108106746,DIURETICO,"L ORNITINA, L ASPArtato",ENOLAXIS 3G CAJA X 10 SACHETS,7770108106746
VALENCIA,7770108110071,DESINFECCIÓN DE MANOS Y SUPERFICIES,ALCOHOL GEL,ALCOHOL GEL BIO-SEP BOTE X 250 ML,7770108110071
VALENCIA,7770108110095,SUPLEMENTO ALIMENTICIO,ALOE,ALOE VALENCIA FCO X 1 L,7770108110095
VALENCIA,7770108110392,SUPLEMENTO ALIMENTICIO,ALOE,ALOE VALENCIA SIN AZUCAR FCO X 1 L,7770108110392
VALENCIA,7770108110583,VITAMINA,VITAMINA C,GUMYVAL C CAJA X 24 SOBRES CON GOMITAS,7770108110583
LAFAR,7770108120322,BACTERICIDA,AMOXICILINA - SULBACTAM,BAMMOX 1000/250 SUSPENCION FRASCO X 60 ML,7770108120322
LAFAR,7770108120339,BACTERICIDA DE AMPLIO ESPECTRO,AMOXICILINA-SULFACTAM,BAMMOX CAJA X 20 COMPRIMIDOS,7770108120339
LAFAR,7770108120391,VITAMINICO,CALCIO MAGNESIO,CALCIMAG C CAJA X 20 CAPSULAS,7770108120391
LAFAR,7770108120827,ANTIMICOTICO,FLUCONAZOL 200 GR,FLUCONAL 200 MG CAJA X 10 CAPSULAS,7770108120827
LAFAR,7770108122111,TX DE INFECCIONES BACTERIANAS EN LA PIEL,BACITRACINA NEOMICINA,BACITRACINA NEOMICINA CREMA TUBO X 10 G,7770108122111
LAFAR,7770108122203,ANTIMICOTICO,CLOTRIMAZOL,CLOTRIMAZOL CREMA VAGINAL TUBO X 30 GR,7770108122203
LAFAR,7770108129028,ANTIGRIPAL INFANTIL,PARACETAMOL DEXTROMETORFANO BROMHIDRATO,TYPIREC SUSPENCION INFANTIL FRASCO X 100 ML,7770108129028
LAFAR,7770108129257,PARA VAGINOSIS BACTERIANA,CLINDAMICINA CLOTRIMAZOL,LORDONIL CAJA X 10 OVULOS,7770108129257
AIYBAO,77701082,CONTROL PRESION ARTERIAL,OXARAM 20/5 MG OLMESARTAN/ AMLODIPINO,OXARAM 20/5 MG X 35 COMPRIMIDOS,77701082
TELCHI,7770108210122,DESINFECTANTE,ALCOHOL MEDICINAL AL 70% X 1000 ML,ALCOHOL MEDICINAL AL 70% X 1000 ML,7770108210122
TELCHI,7770108211280,ANTIESCALDANTE,TALCO LITEL BEBE X100 GR,TALCO LITEL BEBE X100 GR,7770108211280
TELCHI,7770108213093,HIDRATANTE,ACEITE DE ALMENDRAS,ACEITE DE ALMEDRAS FCO X 30 ML,7770108213093
TELCHI,7770108213154,UTILIZADO COMO LAXANTE,ACEITE DE RICINO,ACEITE DE RICINO FCO X 30 ML,7770108213154
TELCHI,7770108215875,HUMECTANTE,VASELINA,VASELINA SOLIDA 250 GR,7770108215875
COFAR,7770108260240,ANTIBIOTICO CUTANEO,BACITRACINA NEOMICINA,BACITRACINA NEOMICINA CREMA TUBO X 10 GR,7770108260240
COFAR BRESKOT,7770108260714,ANTIAGREGANTE PLAQ.,ACIDO ACETIL SALICILICO,CUORE 75 MG CAJA X 32 COMPRIMIDOS,7770108260714
COFAR BRESKOT,7770108262848,TX DE REACCIONES ALÉRGICAS,BETAMETASONA,BECOR 4 MG CAJA X 6 AMPOLLAS,7770108262848
COFAR BRESKOT,7770108262855,TX DE REACCIONES ALÉRGICAS AGUDAS,BETAMETASONA,BECOR FORTE 8 MG CAJA X 6 AMPOLLA,7770108262855
COFAR,7770108265405,SUPLEMENTO DE VITAMINAS DEL GRUPO B,"TIAMINA (B1), PIRIDOXINA (B6), CIANOCOBALAMINA (B12)",B1- B6- B12 25.000 UI CJA X 25 AMPOLLAS,7770108265405
COFAR,7770108265511,"MUCOLÍTICO, FLUIDIFICANTE Y ANTIOXIDANTE",ACETILCISTEÍNA,ACETILCISTEINA 200 MG CAJA X 10 SOBRES,7770108265511
COFAR,7770108265535,"MUCOLÍTICO, FLUIDIFICANTE Y ANTIOXIDANTE",ACETILCISTEINA,ACETILCISTEINA 600 MG CAJA X 10 SOBRES,7770108265535
COFAR,7770108265825,"antitusivo, espectorante",HEDERA HELIX 35 MG/5 ML JARABE FCO X 100 ML,HEDERA HELIX 35 MG/5 ML JARABE FCO X 100 ML,7770108265825
COFAR BRESKOT,7770108266099,ANTIINFLAMTORIO-ANTIALERGICO-GLUCOCORTICOIDE,BETAMETASONA,BECOR RAPILENTO CAJA X 1 AMPOLLA,7770108266099
COFAR BRESKOT,7770108266860,ANTICOAGULANTE,RIVAROXABAN,BAXOR 10 MG CAJA X 8 COMPRIMIDOS,7770108266860
COFAR BRESKOT,7770108267324,ANTICOAGULANTE,RIVAROXABAN,BAXOR 20 MG CAJA X 21 COMPRIMIDOS,7770108267324
COFAR BRESKOT,7770108267331,ANTICOAGULANTE,RIVAROXABAN,BAXOR 15 MG CAJA X 21 COMPRIMIDOS,7770108267331
COFAR FORTIER,7770108267485,ANTIULCEROSO,ESOMEPRAZOL 40 MG CAJA X 24 CAPSULAS,ESOFLUX ESOMEPRAZOL 40 MG CAJA X 24 CAPSULAS,7770108267485
COFAR,7770108267553,"ANTIOXIDANTE, FLUIDIFICANTE, MUCOLÍTICO",ACETILCISTEÍNA,ACETILCISTEINA 300 MG CAJA X 10 AMPOLLAS,7770108267553
COFAR FORTIER,7770108267720,ANTIÁCIDO Y ANTIFLATULENTO,MAGALDRATO; SIMETICONA,ALIVIAX SUSPENSION FCO X 200 ML,7770108267720
COFAR,7770108268734,"ANTIVIRAL, ANTIHERÉTICO",ACICLOVIR,ACICLOVIR 800 MG CAJA X 10 COMPRIMIDOS,7770108268734
COFAR,7770108268970,TRATAMIENTO Y PREVENCIÓN DE OSTEOPOROSIS,ÁCIDO IBANDRÓNICO,ACIDO IBANDRONICO 150 MG CAJA X 2 COMPRIMIDOS,7770108268970
COFAR BRESKOT,7770108269557,HIPOGICEMIANTE,"SITAGLITINA 50 MG, METFORMINA 500 MG",SIGNUM M CAJA X 35 COMPRIMIDOS,7770108269557
COFAR BRESKOT,7770108269700,CONTROL PRESION ARTERIAL,OXAR AM 40/5 MG x 35 OLMESARTAN/AMLODIPINO,OXAR AM 40/5 MG X 35 COMPRIMIDOS,7770108269700
DISMEDIN,7770108280651,HIPOCALCEMIA,GLUCONATO DE CALCIO,GLUCONATO DE CALCIO 10% CAJA X 20 AMPOLLAS,7770108280651
ALFA,7770108300045,ANTIPSICÓTICO,HALOPERIDOL,ALFA PERIDOL GOTAS X 15 ML.,7770108300045
ALFA,7770108300052,ANTITUSÍGENO,CODEÍNA,ALFA TOSSIN JARABE FCO X 100 ML,7770108300052
